id,runtime,budget,revenue,film_id
1,2h 22 min,"$25,000,000","$28,341,469",1
2,2h 55 min,"$6,000,000","$245,066,411",2
3,3h 22 min,"$13,000,000","$102,600,000",3
4,3h 15 min,"$22,000,000","$321,365,567",4
5,1h 37 min,"$397,751","$4,360,000",5
6,2h 5 min,"$19,000,000","$274,925,095",6
7,1h 42 min,"$78,000,000","$271,583,746",7
8,3h 10 min,"$13,200,000","$100,000,000",8
9,2h 32 min,"$185,000,000","$1,004,558,444",9
10,3h 9 min,"$60,000,000","$286,801,374",10
11,2h 13 min,"$11,363,000","$257,591,776",11
12,2h 34 min,"$8,500,000","$213,928,762",12
13,1h 46 min,,"$358,000,000",13
14,3h 21 min,"$94,000,000","$1,118,888,979",14
15,2h 22 min,"$55,000,000","$677,387,716",15
16,3h 27 min,"$2,000,000","$2,626,918",16
17,2h 41 min,"$1,200,000","$38,900,000",17
18,2h 25 min,"$25,000,000","$46,800,000",18
19,1h 29 min,"$3,700,000","$516,962",19
20,2h 4 min,"$5,000,000","$11,990,401",20
21,1h 56 min,"$20,000,000","$230,098,753",21
22,2h 49 min,"$165,000,000","$701,729,206",22
23,2h 19 min,"$63,000,000","$100,853,753",23
24,1h 28 min,,,24
25,1h 49 min,"$806,947","$32,000,000",25
26,2h 9 min,"$3,300,000","$30,641,770",26
27,2h 59 min,"$93,000,000","$871,368,364",27
28,2h 13 min,"$3,000,000","$108,981,275",28
29,3h 49 min,"$30,000,000","$5,500,000",29
30,2h 2 min,,,30
31,1h 44 min,,"$4,903,192",31
32,2h 15 min,,,32
33,1h 25 min,,,33
34,1h 59 min,"$24,000,000","$236,049,757",34
35,2h 59 min,"$79,000,000","$926,287,400",35
36,1h 57 min,"$90,000,000","$384,298,736",36
37,2h 2 min,,,37
38,2h 4 min,"$18,000,000","$538,400,000",38
39,1h 45 min,,,39
40,1h 1 min,,,40
41,1h 45 min,,,41
42,2h 9 min,,"$30,504,476",42
43,1h 47 min,"$3,300,000","$50,307,484",43
44,2h 30 min,"$35,000,000","$120,098,945",44
45,2h 7 min,"$33,000,000","$327,311,859",45
46,2h 6 min,"$10,000,000","$21,761,164",46
47,2h 28 min,"$160,000,000","$825,532,764",47
48,1h 42 min,,"$48,045,728",48
49,2h 20 min,"$100,000,000","$690,897,910",49
50,2h 49 min,"$15,000,000","$261,656,269",50
51,1h 52 min,"$1,000,000","$37,042,336",51
52,1h 59 min,"$19,000,000","$272,742,922",52
53,2h 5 min,,,53
54,1h 59 min,"$20,000,000","$23,900,000",54
55,2h 14 min,"$23,500,000","$169,000,000",55
56,2h 22 min,"$250,000",,56
57,2h 16 min,,"$17,288,993",57
58,3h 57 min,,,58
59,1h 56 min,"$19,000,000","$381,109,762",59
60,0h 9 min,,,60
61,1h 22 min,"$830,000","$112,536",61
62,0h 45 min,,,62
63,1h 50 min,"$1,752,000","$5,000,000",63
64,2h 8 min,"$16,400,000","$235,900,000",64
65,1h 51 min,"$16,000,000","$45,284,974",65
66,1h 34 min,,"$1,315,376",66
67,2h 5 min,"$2,000,000","$11,000,000",67
68,2h 58 min,"$46,700,000","$73,924,182",68
69,1h 27 min,,"$20,563,523",69
70,2h 23 min,,"$55,240",70
71,1h 27 min,"$1,500,000","$1,800,000",71
