id,title,genres,language,user_score,runtime_hour,runtime_min,release_date,vote_count
1,The Shawshank Redemption,"Drama, Crime",en,8.7,2,22,1994-09-23,27070
2,The Godfather,"Drama, Crime",en,8.7,2,55,1972-03-14,20563
3,The Godfather Part II,"Drama, Crime",en,8.6,3,22,1974-12-20,12403
4,Schindler's List,"Drama, History, War",en,8.6,3,15,1993-12-15,15810
5,12 Angry Men,Drama,en,8.5,1,37,1957-04-10,8611
6,Spirited Away,"Animation, Family, Fantasy",ja,8.5,2,5,2001-07-20,16462
7,The Wild Robot,"Animation, Science Fiction, Family",en,8.5,1,42,2024-09-12,2593
8,Dilwale Dulhania Le Jayenge,"Comedy, Drama, Romance",hi,8.5,3,10,1995-10-20,4434
9,The Dark Knight,"Drama, Action, Crime, Thriller",en,8.5,2,32,2008-07-16,32816
10,The Green Mile,"Fantasy, Drama, Crime",en,8.5,3,9,1999-12-10,17376
11,Parasite,"Comedy, Thriller, Drama",ko,8.5,2,13,2019-05-30,18215
12,Pulp Fiction,"Thriller, Crime",en,8.5,2,34,1994-09-10,27853
13,Your Name.,"Animation, Romance, Drama",ja,8.5,1,46,2016-08-26,11341
14,The Lord of the Rings: The Return of the King,"Adventure, Fantasy, Action",en,8.5,3,21,2003-12-17,24151
15,Forrest Gump,"Comedy, Drama, Romance",en,8.5,2,22,1994-06-23,27384
16,Seven Samurai,"Action, Drama",ja,8.5,3,27,1954-04-26,3660
17,"The Good, the Bad and the Ugly",Western,it,8.5,2,41,1966-12-22,8584
18,GoodFellas,"Drama, Crime",en,8.5,2,25,1990-09-12,12824
19,Grave of the Fireflies,"Animation, Drama, War",ja,8.5,1,29,1988-04-16,5536
20,Cinema Paradiso,"Drama, Romance",it,8.5,2,4,1988-11-17,4354
21,Life Is Beautiful,"Comedy, Drama",it,8.4,1,56,1997-12-20,12998
22,Interstellar,"Adventure, Drama, Science Fiction",en,8.4,2,49,2014-11-05,35515
23,Fight Club,Drama,en,8.4,2,19,1999-10-15,29324
24,Impossible Things,"Family, Drama",es,8.4,1,28,2021-06-17,387
25,Psycho,"Horror, Thriller, Mystery",en,8.4,1,49,1960-06-22,10027
26,City of God,"Drama, Crime",pt,8.4,2,9,2002-08-30,7361
27,The Lord of the Rings: The Fellowship of the Ring,"Adventure, Fantasy, Action",en,8.4,2,59,2001-12-18,25089
28,One Flew Over the Cuckoo's Nest,Drama,en,8.4,2,13,1975-11-19,10402
29,Once Upon a Time in America,"Drama, Crime",en,8.4,3,49,1984-05-23,5368
30,Gabriel's Inferno,"Romance, Drama",en,8.4,2,2,2020-05-29,2410
31,A Dog's Will,"Comedy, Drama, Fantasy",pt,8.4,1,44,2000-09-15,1093
32,Harakiri,"Action, Drama, History",ja,8.4,2,15,1962-09-15,990
33,Primal: Tales of Savagery,"Action, Adventure, Animation, Drama",en,8.4,1,25,2019-11-21,315
34,Howl's Moving Castle,"Fantasy, Animation, Adventure",ja,8.4,1,59,2004-09-09,9852
