"country","MostVisited_NumOfArrivalsPredictive_Millions_2024","MostVisited_NumOfArrivals_Millions_2023","MostVisited_NumOfArrivals_Millions_2022","MostVisited_NumOfArrivals_WorldBank","MostVisited_DataYear_WorldBank"
"India",17.9,,,17914000,2019
"China",65.7,,,30402000,2020
"United States",79.3,66.48,50.87,45037000,2020
"Indonesia",15.5,,,4053000,2020
"Pakistan",,,,966000,2012
"Nigeria",,,,5265000,2016
"Brazil",5.9,5.91,,6353000,2019
"Bangladesh",,,,323000,2019
"Russia",24.4,,,6359000,2020
"Ethiopia",,,,518000,2020
"Mexico",45,42.15,38.33,51128000,2020
"Japan",32.3,25.07,,4115800,2020
"Egypt",11.3,14.91,11.66,13026000,2019
"Philippines",8.3,5,,1483000,2020
"DR Congo",,,,351000,2016
"Vietnam",18,12.6,,3837000,2020
"Iran",7.3,5.87,,1550000,2020
"Turkey",51.2,,50.45,15971000,2020
"Germany",39.6,34.8,28.46,12449000,2020
"Thailand",39.8,28.15,,39916000,2019
"United Kingdom",39.4,37.22,30.74,11101000,2020
"Tanzania",,,,1527000,2019
"France",89.4,100,79.4,117109000,2020
"South Africa",10.2,8.48,,3886600,2020
"Italy",64.5,57.25,49.81,38419000,2020
"Kenya",,,,2049000,2019
"Myanmar",,,,903000,2020
"Colombia",,5.63,,1396000,2020
"South Korea",17.5,11.03,,2519000,2020
"Sudan",,,,836000,2018
"Uganda",,,,473000,2020
"Spain",83.7,85.17,71.66,36410000,2020
"Algeria",,,,591000,2020
"Iraq",,,,892000,2013
"Argentina",7.4,7.29,,7339000,2019
"Yemen",,,,398000,2015
"Canada",22.1,18.34,12.82,32430000,2019
"Poland",22.1,18.99,15.95,88515000,2019
"Morocco",12.9,14.52,,2802000,2020
"Angola",,,,218000,2019
"Ukraine",,,,3382000,2020
"Uzbekistan",6.7,6.63,,6749000,2019
"Malaysia",26.1,20.14,,4333000,2020
"Mozambique",,,,2033000,2019
"Ghana",,,,897000,2015
"Peru",,,,1119000,2020
"Saudi Arabia",13.6,27.42,16.65,20292000,2019
"Madagascar",,,,87100,2020
"Ivory Coast",,,,668000,2020
"Nepal",,,,230000,2020
"Cameroon",,,,1021000,2019
"Venezuela",,,,429000,2017
"Niger",,,,85000,2020
"Australia",9.5,7.19,,1828000,2020
"Syria",,,,2424000,2019
"Mali",,,,217000,2019
"Burkina Faso",,,,67000,2020
"Taiwan",11.9,6.49,,,
"Sri Lanka",,,,540000,2020
"Malawi",,,,871000,2018
"Zambia",,,,502000,2020
"Kazakhstan",,,,2035000,2020
"Chad",,,,10400,2020
"Chile",,3.73,,5431000,2019
"Romania",,,12.7,5023000,2020
"Senegal",,,,1376000,2017
"Guatemala",,,,594000,2020
"Netherlands",20.1,20.3,16.07,7265000,2020
"Ecuador",,,,2108000,2019
"Cambodia",6.6,5.45,,1306000,2020
"Zimbabwe",,,,639000,2020
"Guinea",,,,99000,2017
"Benin",,,,337000,2019
"Rwanda",,,,1634000,2019
"Burundi",,,,299000,2017
"Bolivia",,,,323300,2020
"Tunisia",9.4,9.37,,2012000,2020
"Haiti",,,,938000,2019
"Belgium",9.3,,,2584000,2020
"Jordan",,5.35,,1240000,2020
"Dominican Republic",,8.06,,2748000,2020
"United Arab Emirates",16.7,28.15,22.65,8084000,2020
"Cuba",,,,1086000,2020
"Honduras",,,,669000,2020
